"Date","Price","Open","High","Low","Change %"
"Aug 16, 2011","41.337","41.358","41.454","41.166","-0.02%"
"Aug 15, 2011","41.346","41.626","42.229","41.221","-0.63%"
"Aug 12, 2011","41.607","42.589","42.721","41.421","-2.38%"
"Aug 11, 2011","42.622","42.373","42.729","41.454","0.48%"
"Aug 10, 2011","42.419","42.593","42.900","41.836","-0.11%"
"Aug 09, 2011","42.467","41.085","42.994","41.025","3.30%"
"Aug 08, 2011","41.110","40.840","41.258","39.942","2.54%"
"Aug 05, 2011","40.090","39.724","40.572","39.665","0.84%"
"Aug 04, 2011","39.758","39.875","39.994","39.629","-0.34%"
"Aug 03, 2011","39.893","39.475","39.941","39.436","0.97%"
"Aug 02, 2011","39.510","39.593","39.654","39.429","-0.21%"
"Aug 01, 2011","39.592","39.667","39.802","39.342","-0.49%"
"Jul 29, 2011","39.788","39.534","39.821","39.404","0.59%"
"Jul 28, 2011","39.555","39.556","39.685","39.377","-0.01%"
"Jul 27, 2011","39.560","39.921","40.007","39.471","-0.93%"
"Jul 26, 2011","39.930","39.863","40.252","39.805","0.16%"
"Jul 25, 2011","39.865","39.975","39.998","39.725","-0.02%"
"Jul 22, 2011","39.871","40.004","40.029","39.808","-0.36%"
"Jul 21, 2011","40.014","39.998","40.274","39.569","0.04%"
"Jul 20, 2011","39.997","39.900","40.052","39.666","0.19%"
"Jul 19, 2011","39.920","39.836","39.968","39.669","0.15%"
"Jul 18, 2011","39.862","39.613","39.904","39.439","0.31%"
"Jul 15, 2011","39.738","39.761","39.922","39.607","-0.14%"
"Jul 14, 2011","39.793","39.761","40.040","39.682","0.08%"
"Jul 13, 2011","39.760","39.589","39.844","39.511","0.37%"
"Jul 12, 2011","39.613","39.620","39.750","39.301","0.03%"
"Jul 11, 2011","39.603","39.821","39.880","39.512","-1.58%"
"Jul 08, 2011","40.237","40.066","40.237","39.718","0.38%"
"Jul 07, 2011","40.086","40.075","40.158","39.871","0.00%"
"Jul 06, 2011","40.085","40.227","40.365","40.013","-0.39%"
"Jul 05, 2011","40.241","40.410","40.452","40.186","-0.42%"
